Start,Meter,kWh
"3/27/2023 12:00:00 AM","Meter #80354166","0.98"
"3/27/2023 12:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 1:00:00 AM","Meter #80354166","0.72"
"3/27/2023 1:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 2:00:00 AM","Meter #80354166","2.01"
"3/27/2023 2:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 3:00:00 AM","Meter #80354166","2.14"
"3/27/2023 3:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 4:00:00 AM","Meter #80354166","0.99"
"3/27/2023 4:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 5:00:00 AM","Meter #80354166","0.41"
"3/27/2023 5:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 6:00:00 AM","Meter #80354166","0.50"
"3/27/2023 6:00:00 AM","Meter #80354166g","0.00"
"3/27/2023 7:00:00 AM","Meter #80354166","0.27"
"3/27/2023 7:00:00 AM","Meter #80354166g","-0.01"
"3/27/2023 8:00:00 AM","Meter #80354166","0.02"
"3/27/2023 8:00:00 AM","Meter #80354166g","-0.19"
"3/27/2023 9:00:00 AM","Meter #80354166","0.48"
"3/27/2023 9:00:00 AM","Meter #80354166g","-0.25"
"3/27/2023 10:00:00 AM","Meter #80354166","0.13"
"3/27/2023 10:00:00 AM","Meter #80354166g","-2.01"
"3/27/2023 11:00:00 AM","Meter #80354166","0.00"
"3/27/2023 11:00:00 AM","Meter #80354166g","-3.66"
"3/27/2023 12:00:00 PM","Meter #80354166","0.00"
"3/27/2023 12:00:00 PM","Meter #80354166g","-3.11"
"3/27/2023 1:00:00 PM","Meter #80354166","0.00"
"3/27/2023 1:00:00 PM","Meter #80354166g","-3.07"
"3/27/2023 2:00:00 PM","Meter #80354166","0.01"
"3/27/2023 2:00:00 PM","Meter #80354166g","-0.99"
"3/27/2023 3:00:00 PM","Meter #80354166","0.00"
"3/27/2023 3:00:00 PM","Meter #80354166g","-0.31"
"3/27/2023 4:00:00 PM","Meter #80354166","0.04"
"3/27/2023 4:00:00 PM","Meter #80354166g","-0.26"
"3/27/2023 5:00:00 PM","Meter #80354166","0.34"
"3/27/2023 5:00:00 PM","Meter #80354166g","0.00"
"3/27/2023 6:00:00 PM","Meter #80354166","0.43"
"3/27/2023 6:00:00 PM","Meter #80354166g","0.00"
"3/27/2023 7:00:00 PM","Meter #80354166","1.09"
"3/27/2023 7:00:00 PM","Meter #80354166g","0.00"
"3/27/2023 8:00:00 PM","Meter #80354166","0.90"
"3/27/2023 8:00:00 PM","Meter #80354166g","0.00"
"3/27/2023 9:00:00 PM","Meter #80354166","1.02"
"3/27/2023 9:00:00 PM","Meter #80354166g","0.00"
"3/27/2023 10:00:00 PM","Meter #80354166","0.83"
"3/27/2023 10:00:00 PM","Meter #80354166g","0.00"
"3/27/2023 11:00:00 PM","Meter #80354166","2.39"
"3/27/2023 11:00:00 PM","Meter #80354166g","0.00"
"3/28/2023 12:00:00 AM","Meter #80354166","1.71"
"3/28/2023 12:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 1:00:00 AM","Meter #80354166","1.55"
"3/28/2023 1:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 2:00:00 AM","Meter #80354166","1.52"
"3/28/2023 2:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 3:00:00 AM","Meter #80354166","1.29"
"3/28/2023 3:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 4:00:00 AM","Meter #80354166","0.72"
"3/28/2023 4:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 5:00:00 AM","Meter #80354166","0.39"
"3/28/2023 5:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 6:00:00 AM","Meter #80354166","0.47"
"3/28/2023 6:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 7:00:00 AM","Meter #80354166","0.39"
"3/28/2023 7:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 8:00:00 AM","Meter #80354166","0.33"
"3/28/2023 8:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 9:00:00 AM","Meter #80354166","1.12"
"3/28/2023 9:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 10:00:00 AM","Meter #80354166","1.53"
"3/28/2023 10:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 11:00:00 AM","Meter #80354166","1.01"
"3/28/2023 11:00:00 AM","Meter #80354166g","0.00"
"3/28/2023 12:00:00 PM","Meter #80354166","0.52"
"3/28/2023 12:00:00 PM","Meter #80354166g","-0.03"
"3/28/2023 1:00:00 PM","Meter #80354166","0.27"
"3/28/2023 1:00:00 PM","Meter #80354166g","-0.60"
"3/28/2023 2:00:00 PM","Meter #80354166","0.02"
"3/28/2023 2:00:00 PM","Meter #80354166g","-1.27"
"3/28/2023 3:00:00 PM","Meter #80354166","0.39"
"3/28/2023 3:00:00 PM","Meter #80354166g","-0.76"
"3/28/2023 4:00:00 PM","Meter #80354166","0.00"
"3/28/2023 4:00:00 PM","Meter #80354166g","-0.43"
"3/28/2023 5:00:00 PM","Meter #80354166","0.30"
"3/28/2023 5:00:00 PM","Meter #80354166g","-0.03"
"3/28/2023 6:00:00 PM","Meter #80354166","0.59"
"3/28/2023 6:00:00 PM","Meter #80354166g","0.00"
"3/28/2023 7:00:00 PM","Meter #80354166","0.93"
"3/28/2023 7:00:00 PM","Meter #80354166g","0.00"
"3/28/2023 8:00:00 PM","Meter #80354166","1.84"
"3/28/2023 8:00:00 PM","Meter #80354166g","0.00"
"3/28/2023 9:00:00 PM","Meter #80354166","3.56"
"3/28/2023 9:00:00 PM","Meter #80354166g","0.00"
"3/28/2023 10:00:00 PM","Meter #80354166","0.71"
"3/28/2023 10:00:00 PM","Meter #80354166g","0.00"
"3/28/2023 11:00:00 PM","Meter #80354166","2.81"
"3/28/2023 11:00:00 PM","Meter #80354166g","0.00"
"3/29/2023 12:00:00 AM","Meter #80354166","2.01"
"3/29/2023 12:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 1:00:00 AM","Meter #80354166","2.02"
"3/29/2023 1:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 2:00:00 AM","Meter #80354166","2.14"
"3/29/2023 2:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 3:00:00 AM","Meter #80354166","2.05"
"3/29/2023 3:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 4:00:00 AM","Meter #80354166","0.81"
"3/29/2023 4:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 5:00:00 AM","Meter #80354166","0.40"
"3/29/2023 5:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 6:00:00 AM","Meter #80354166","0.46"
"3/29/2023 6:00:00 AM","Meter #80354166g","0.00"
"3/29/2023 7:00:00 AM","Meter #80354166","0.28"
"3/29/2023 7:00:00 AM","Meter #80354166g","-0.01"
"3/29/2023 8:00:00 AM","Meter #80354166","0.02"
"3/29/2023 8:00:00 AM","Meter #80354166g","-0.10"
"3/29/2023 9:00:00 AM","Meter #80354166","0.52"
"3/29/2023 9:00:00 AM","Meter #80354166g","-0.13"
"3/29/2023 10:00:00 AM","Meter #80354166","0.71"
"3/29/2023 10:00:00 AM","Meter #80354166g","-0.39"
"3/29/2023 11:00:00 AM","Meter #80354166","0.71"
"3/29/2023 11:00:00 AM","Meter #80354166g","-0.84"
"3/29/2023 12:00:00 PM","Meter #80354166","1.25"
"3/29/2023 12:00:00 PM","Meter #80354166g","-0.47"
"3/29/2023 1:00:00 PM","Meter #80354166","1.01"
"3/29/2023 1:00:00 PM","Meter #80354166g","-0.65"
"3/29/2023 2:00:00 PM","Meter #80354166","0.70"
"3/29/2023 2:00:00 PM","Meter #80354166g","-0.93"
"3/29/2023 3:00:00 PM","Meter #80354166","0.14"
"3/29/2023 3:00:00 PM","Meter #80354166g","-0.71"
"3/29/2023 4:00:00 PM","Meter #80354166","0.19"
"3/29/2023 4:00:00 PM","Meter #80354166g","-0.40"
"3/29/2023 5:00:00 PM","Meter #80354166","0.04"
"3/29/2023 5:00:00 PM","Meter #80354166g","-0.04"
"3/29/2023 6:00:00 PM","Meter #80354166","0.64"
"3/29/2023 6:00:00 PM","Meter #80354166g","0.00"
"3/29/2023 7:00:00 PM","Meter #80354166","1.11"
"3/29/2023 7:00:00 PM","Meter #80354166g","0.00"
"3/29/2023 8:00:00 PM","Meter #80354166","0.74"
"3/29/2023 8:00:00 PM","Meter #80354166g","0.00"
"3/29/2023 9:00:00 PM","Meter #80354166","0.88"
"3/29/2023 9:00:00 PM","Meter #80354166g","0.00"
"3/29/2023 10:00:00 PM","Meter #80354166","4.63"
"3/29/2023 10:00:00 PM","Meter #80354166g","0.00"
"3/29/2023 11:00:00 PM","Meter #80354166","1.52"
"3/29/2023 11:00:00 PM","Meter #80354166g","0.00"
"3/30/2023 12:00:00 AM","Meter #80354166","0.73"
"3/30/2023 12:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 1:00:00 AM","Meter #80354166","0.60"
"3/30/2023 1:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 2:00:00 AM","Meter #80354166","0.56"
"3/30/2023 2:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 3:00:00 AM","Meter #80354166","0.37"
"3/30/2023 3:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 4:00:00 AM","Meter #80354166","0.34"
"3/30/2023 4:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 5:00:00 AM","Meter #80354166","0.47"
"3/30/2023 5:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 6:00:00 AM","Meter #80354166","0.46"
"3/30/2023 6:00:00 AM","Meter #80354166g","0.00"
"3/30/2023 7:00:00 AM","Meter #80354166","0.27"
"3/30/2023 7:00:00 AM","Meter #80354166g","-0.00"
"3/30/2023 8:00:00 AM","Meter #80354166","0.04"
"3/30/2023 8:00:00 AM","Meter #80354166g","-0.09"
"3/30/2023 9:00:00 AM","Meter #80354166","0.00"
"3/30/2023 9:00:00 AM","Meter #80354166g","-0.31"
"3/30/2023 10:00:00 AM","Meter #80354166","0.00"
"3/30/2023 10:00:00 AM","Meter #80354166g","-2.18"
"3/30/2023 11:00:00 AM","Meter #80354166","0.00"
"3/30/2023 11:00:00 AM","Meter #80354166g","-4.05"
"3/30/2023 12:00:00 PM","Meter #80354166","0.53"
"3/30/2023 12:00:00 PM","Meter #80354166g","-2.54"
"3/30/2023 1:00:00 PM","Meter #80354166","0.55"
"3/30/2023 1:00:00 PM","Meter #80354166g","-1.73"
"3/30/2023 2:00:00 PM","Meter #80354166","0.00"
"3/30/2023 2:00:00 PM","Meter #80354166g","-2.61"
"3/30/2023 3:00:00 PM","Meter #80354166","0.00"
"3/30/2023 3:00:00 PM","Meter #80354166g","-1.46"
"3/30/2023 4:00:00 PM","Meter #80354166","0.01"
"3/30/2023 4:00:00 PM","Meter #80354166g","-0.48"
"3/30/2023 5:00:00 PM","Meter #80354166","0.74"
"3/30/2023 5:00:00 PM","Meter #80354166g","0.00"
"3/30/2023 6:00:00 PM","Meter #80354166","0.41"
"3/30/2023 6:00:00 PM","Meter #80354166g","0.00"
"3/30/2023 7:00:00 PM","Meter #80354166","0.60"
"3/30/2023 7:00:00 PM","Meter #80354166g","0.00"
"3/30/2023 8:00:00 PM","Meter #80354166","0.60"
