Start,Meter, kwh
"2/23/2024 12:00:00 AM","Meter #80354166","4.29"
"2/23/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 1:00:00 AM","Meter #80354166","2.15"
"2/23/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 2:00:00 AM","Meter #80354166","1.58"
"2/23/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 3:00:00 AM","Meter #80354166","2.57"
"2/23/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 4:00:00 AM","Meter #80354166","0.77"
"2/23/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 5:00:00 AM","Meter #80354166","0.80"
"2/23/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 6:00:00 AM","Meter #80354166","1.67"
"2/23/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 7:00:00 AM","Meter #80354166","1.62"
"2/23/2024 7:00:00 AM","Meter #80354166g","0.00"
"2/23/2024 8:00:00 AM","Meter #80354166","0.28"
"2/23/2024 8:00:00 AM","Meter #80354166g","-0.01"
"2/23/2024 9:00:00 AM","Meter #80354166","0.09"
"2/23/2024 9:00:00 AM","Meter #80354166g","-0.07"
"2/23/2024 10:00:00 AM","Meter #80354166","0.33"
"2/23/2024 10:00:00 AM","Meter #80354166g","-0.34"
"2/23/2024 11:00:00 AM","Meter #80354166","0.00"
"2/23/2024 11:00:00 AM","Meter #80354166g","-0.51"
"2/23/2024 12:00:00 PM","Meter #80354166","0.00"
"2/23/2024 12:00:00 PM","Meter #80354166g","-0.48"
"2/23/2024 1:00:00 PM","Meter #80354166","1.32"
"2/23/2024 1:00:00 PM","Meter #80354166g","-0.03"
"2/23/2024 2:00:00 PM","Meter #80354166","0.64"
"2/23/2024 2:00:00 PM","Meter #80354166g","-0.03"
"2/23/2024 3:00:00 PM","Meter #80354166","0.82"
"2/23/2024 3:00:00 PM","Meter #80354166g","-0.01"
"2/23/2024 4:00:00 PM","Meter #80354166","3.12"
"2/23/2024 4:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 5:00:00 PM","Meter #80354166","7.14"
"2/23/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 6:00:00 PM","Meter #80354166","2.60"
"2/23/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 7:00:00 PM","Meter #80354166","1.06"
"2/23/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 8:00:00 PM","Meter #80354166","2.96"
"2/23/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 9:00:00 PM","Meter #80354166","3.53"
"2/23/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 10:00:00 PM","Meter #80354166","3.97"
"2/23/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/23/2024 11:00:00 PM","Meter #80354166","4.12"
"2/23/2024 11:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 12:00:00 AM","Meter #80354166","2.46"
"2/24/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 1:00:00 AM","Meter #80354166","2.42"
"2/24/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 2:00:00 AM","Meter #80354166","3.52"
"2/24/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 3:00:00 AM","Meter #80354166","3.37"
"2/24/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 4:00:00 AM","Meter #80354166","2.23"
"2/24/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 5:00:00 AM","Meter #80354166","2.61"
"2/24/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 6:00:00 AM","Meter #80354166","1.30"
"2/24/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 7:00:00 AM","Meter #80354166","0.88"
"2/24/2024 7:00:00 AM","Meter #80354166g","-0.01"
"2/24/2024 8:00:00 AM","Meter #80354166","1.52"
"2/24/2024 8:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 9:00:00 AM","Meter #80354166","1.01"
"2/24/2024 9:00:00 AM","Meter #80354166g","0.00"
"2/24/2024 10:00:00 AM","Meter #80354166","0.66"
"2/24/2024 10:00:00 AM","Meter #80354166g","-0.03"
"2/24/2024 11:00:00 AM","Meter #80354166","0.00"
"2/24/2024 11:00:00 AM","Meter #80354166g","-0.42"
"2/24/2024 12:00:00 PM","Meter #80354166","0.00"
"2/24/2024 12:00:00 PM","Meter #80354166g","-1.00"
"2/24/2024 1:00:00 PM","Meter #80354166","0.00"
"2/24/2024 1:00:00 PM","Meter #80354166g","-0.90"
"2/24/2024 2:00:00 PM","Meter #80354166","0.06"
"2/24/2024 2:00:00 PM","Meter #80354166g","-0.46"
"2/24/2024 3:00:00 PM","Meter #80354166","1.91"
"2/24/2024 3:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 4:00:00 PM","Meter #80354166","4.79"
"2/24/2024 4:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 5:00:00 PM","Meter #80354166","2.84"
"2/24/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 6:00:00 PM","Meter #80354166","4.22"
"2/24/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 7:00:00 PM","Meter #80354166","5.29"
"2/24/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 8:00:00 PM","Meter #80354166","4.80"
"2/24/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 9:00:00 PM","Meter #80354166","3.60"
"2/24/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 10:00:00 PM","Meter #80354166","3.28"
"2/24/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/24/2024 11:00:00 PM","Meter #80354166","6.00"
"2/24/2024 11:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 12:00:00 AM","Meter #80354166","3.23"
